CHEM_ID	COMP_ID	SUPER_PATHWAY	SUB_PATHWAY	HMDB	KEGG
100001216	33418	Cofactors and Vitamins	Tocopherol Metabolism	HMDB0002902	C14151
100001219	32453	Xenobiotics	Food Component/Plant	HMDB0003312	C10208
100001221	32448	Xenobiotics	Food Component/Plant	HMDB0003217	C06563
100001222	34024	Xenobiotics	Food Component/Plant	HMDB0005781	C14536
100001226	32426	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	HMDB0004157	C05789
100001229	33969	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	HMDB0006547	C16300
100001232	33968	Lipid	Medium Chain Fatty Acid	HMDB0000529	
100001250	33983	Lipid	Primary Bile Acid Metabolism	HMDB0000932	
100001253	33943	Amino Acid	Glutamate Metabolism	HMDB0006029	C02716
100001254	33959	Amino Acid	Tryptophan Metabolism	HMDB0013713	C03137
100001256	33950	Amino Acid	Phenylalanine Metabolism	HMDB0000512	C03519
100001257	33942	Amino Acid	Alanine and Aspartate Metabolism	HMDB0006028	
100001258	34398	Peptide	Dipeptide	HMDB0000759	C02155
100001262	33934	Peptide	Gamma-glutamyl Amino Acid	HMDB0003869	
100001263	33955	Lipid	Lysophospholipid	HMDB0010382	C04102
100001266	33953	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0004620	C02562
100001269	33997	Lipid	Sterol	HMDB0002869	C01789
100001270	33952	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"	HMDB000506	
100001271	33961	Lipid	Lysophospholipid	HMDB0010384	
100001272	48258	Lipid	Lysophospholipid	HMDB0002815	C03916
100001274	33939	Amino Acid	"Glycine, Serine and Threonine Metabolism"	HMDB0062557	
100001276	33967	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	HMDB0061684	
100001277	33972	Lipid	Long Chain Monounsaturated Fatty Acid	HMDB0013622	
100001278	33971	Lipid	Long Chain Monounsaturated Fatty Acid	HMDB0060038	
100001279	34093	Lipid	Secondary Bile Acid Metabolism	HMDB0000760	C17649
100001280	34092	Lipid	Primary Bile Acid Metabolism	HMDB0000506	C17647
100001293	33946	Amino Acid	Histidine Metabolism	HMDB0032055	C02997
100001294	33949	Peptide	Gamma-glutamyl Amino Acid	HMDB0011667	
100001295	33947	Peptide	Gamma-glutamyl Amino Acid	HMDB0029160	
100001296	34384	Xenobiotics	Food Component/Plant	HMDB0004827	C10172
100001300	46537	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	HMDB0000407	
100001310	33013	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	HMDB0000855	C03150
100001313	44872	Peptide	Gamma-glutamyl Amino Acid	HMDB0029155	
100001314	33364	Peptide	Gamma-glutamyl Amino Acid	HMDB0029159	
100001315	36103	Xenobiotics	Benzoate Metabolism	HMDB0011635	
100001316	33471	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	HMDB0006809	C05841
100001320	42420	Carbohydrate	Aminosugar Metabolism	HMDB0000613	
100001334	34387	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0094701	
100001335	33587	Lipid	Long Chain Monounsaturated Fatty Acid	"HMDB0002231,HMDB0062436"	C16526
100001337	34035	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	"HMDB0003073,HMDB0001388"	"C06426,C06427"
100001359	46173	Energy	TCA Cycle	"HMDB0000958,HMDB000072"	"C004174,C02341"
100001386	41754	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	HMDB0003178	C00032
100001391	34409	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"	HMDB0000848	
100001392	34534	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"	HMDB000225	
100001395	34419	Lipid	Lysophospholipid	HMDB0010386	C04100
100001409	48351	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	HMDB0002721	
100001411	35101	Xenobiotics	Food Component/Plant	HMDB0013222	C03065
100001412	35137	Nucleotide	"Purine Metabolism, Guanine containing"	HMDB0004824	
100001415	35157	Nucleotide	"Purine Metabolism, Adenine containing"	HMDB0041623	
100001416	35172	Nucleotide	"Pyrimidine Metabolism, Orotate containing"	HMDB0000788	
100001417	35126	Peptide	Acetylated Peptides	HMDB0006344	C04148
100001423	35527	Xenobiotics	Benzoate Metabolism	HMDB0013678	
100001425	61833	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	HMDB0000497	
100001429	34391	Lipid	Monoacylglycerol		
100001431	47898	Lipid	Monoacylglycerol		
100001433	34397	Lipid	Monoacylglycerol	HMDB11578	C13857
100001435	34393	Lipid	Monoacylglycerol	HMDB0011569	
100001436	34381	Lipid	Sphingolipid Synthesis	HMDB01480	C02934
100001446	35136	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	HMDB0000884	
100001452	35107	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	HMDB00678	
100001454	62915	Lipid	"Fatty Acid, Dicarboxylate"	HMDB0000413	
100001456	35114	Nucleotide	"Purine Metabolism, Guanine containing"	HMDB0000897	C02242
100001461	42398	Lipid	Lysophospholipid	HMDB0011130	
100001462	34437	Lipid	Lysophospholipid		
100001468	40469	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	HMDB0004193	C05842
100001469	57584	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	HMDB0004194	C05843
100001481	35153	Lipid	Monoacylglycerol	HMDB0011587	
100001485	34457	Peptide	Gamma-glutamyl Amino Acid	HMDB0011170	
100001491	37123	Carbohydrate	Aminosugar Metabolism	HMDB0000833	C03410
100001492	35158	Carbohydrate	Aminosugar Metabolism	HMDB0003556	C01674
100001495	57555	Cofactors and Vitamins	Pantothenate and CoA Metabolism	HMDB0003426	C00831
100001501	35160	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"	HMDB0005065	
100001506	35129	Cofactors and Vitamins	Tetrahydrobiopterin Metabolism	HMDB0000038	C00268
100001510	32553	Amino Acid	Tyrosine Metabolism	HMDB0060015	C02180
100001511	33230	Lipid	Lysophospholipid	HMDB0010383	
100001526	37059	Lipid	Fatty Acid Synthesis	HMDB0002095	
100001540	46225	Partially Characterized Molecules	Partially Characterized Molecules		
100001541	36746	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	HMDB0000317	
100001542	35630	Xenobiotics	Food Component/Plant	HMDB0000954	C01494
100001562	35253	Lipid	Lysophospholipid	HMDB0061702	
100001567	35631	Lipid	Lysophospholipid	HMDB0011503	
100001569	35628	Lipid	Lysophospholipid	HMDB0011506	
100001570	36600	Lipid	Lysophospholipid	HMDB0011507	
100001571	35186	Lipid	Lysophospholipid	HMDB0011517	
100001577	48434	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0000856	"C15532,C02851"
100001580	37478	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	HMDB0001976	C16513
100001586	46957	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	HMDB0003290	C00800
100001593	44664	Amino Acid	Lysine Metabolism	HMDB0013130	
100001594	35433	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"		
100001604	35322	Xenobiotics	Drug - Topical Agents	HMDB0240263	C00530
100001605	35320	Xenobiotics	Benzoate Metabolism	HMDB0059724	
100001606	35324	Lipid	Sterol	HMDB00653	C18043
100001613	35669	Lipid	"Fatty Acid, Dicarboxylate"	HMDB0000872	
100001614	35678	Lipid	"Fatty Acid, Dicarboxylate"	HMDB0000672	C19615
100001617	42395	Lipid	"Fatty Acid, Dicarboxylate"	HMDB0000888	
100001618	35625	Lipid	Monoacylglycerol	HMDB0011561	C01885
100001619	48857	Lipid	Glycerolipid Metabolism	HMDB0240316	C03274
100001620	37455	Lipid	Phospholipid Metabolism	HMDB0000114	C01233
100001621	52307	Lipid	Phospholipid Metabolism		
100001622	35632	Xenobiotics	Benzoate Metabolism	HMDB0041683	C03080
100001624	35635	Xenobiotics	Benzoate Metabolism	HMDB0000375	C11457
100001625	36807	Lipid	Secondary Bile Acid Metabolism	HMDB0000811	C15515
100001628	35649	Carbohydrate	Pentose Phosphate Pathway	HMDB0001068	C05382
100001634	35639	Xenobiotics	Food Component/Plant	HMDB0000484	C06672
100001635	35651	Xenobiotics	Chemical		C06231
100001655	35305	Lipid	Lysophospholipid	HMDB0061695	
100001662	36747	Lipid	Carnitine Metabolism	HMDB0001161	C01181
100001664	48130	Nucleotide	"Purine Metabolism, Adenine containing"	HMDB0000912	
100001668	61868	Amino Acid	Histidine Metabolism	HMDB0002331	C05131
100001670	36810	Lipid	Lysophospholipid	HMDB0062319	
100001671	36812	Lipid	Lysophospholipid		
100001675	36770	Xenobiotics	Food Component/Plant	HMDB0002035	C00811
100001679	36764	Xenobiotics	Food Component/Plant		C02637
100001689	35879	Xenobiotics	Food Component/Plant		C18021
100001718	35892	Xenobiotics	Benzoate Metabolism	HMDB0029649	
100001721	36751	Amino Acid	Lysine Metabolism	HMDB0000446	C12989
100001725	36774	Xenobiotics	Food Component/Plant	HMDB0002209	C14131
100001730	62952	Lipid	"Fatty Acid, Dihydroxy"	HMDB0000337	
100001734	36752	Amino Acid	Lysine Metabolism	HMDB0000206	C02727
100001739	35718	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	HMDB0002925	C03242
100001740	46142	Carbohydrate	"Fructose, Mannose and Galactose Metabolism"	"HMDB0000247,HMDB0000765"	"C00392,C00794"
100001767	48428	Xenobiotics	Food Component/Plant	HMDB0033143	C21013
100001768	36713	Carbohydrate	Advanced Glycation End-product	HMDB0240347	
100001777	36602	Lipid	Lysophospholipid	HMDB0061693	
100001778	36594	Lipid	Lysophospholipid		
100001790	36659	Peptide	Dipeptide	HMDB0028844	
100001805	37070	Nucleotide	Purine and Pyrimidine Metabolism	HMDB61711	
100001810	36808	Amino Acid	Urea cycle; Arginine and Proline Metabolism	"HMDB0003334,HMDB0001539"	"C21189,C03626"
100001819	37116	Xenobiotics	Food Component/Plant	HMDB0030847	C00974
100001823	37069	Amino Acid	Alanine and Aspartate Metabolism	HMDB0094692	C02721
100001825	37113	Xenobiotics	Food Component/Plant	HMDB0031715	C14314
100001827	61857	Xenobiotics	Food Component/Plant		C05797
100001843	37063	Peptide	Gamma-glutamyl Amino Acid	HMDB0029142	C03738
100001851	37076	Amino Acid	"Glycine, Serine and Threonine Metabolism"	HMDB0002931	
100001859	37112	Lipid	Inositol Metabolism	HMDB0240209	C19891
100001860	37086	Lipid	Inositol Metabolism	HMDB0034219	C03844
100001869	42450	Lipid	Phosphatidylcholine (PC)	HMDB0008048	
100001870	42449	Lipid	Phosphatidylethanolamine (PE)	HMDB0005322	
100001890	37093	Peptide	Dipeptide	HMDB0028691	
100001919	37091	Xenobiotics	Food Component/Plant	HMDB0002085	C10833
100001948	37058	Energy	TCA Cycle	HMDB0061717	
100001950	32586	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism		
100001951	47886	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	HMDB0000488	C00486
100001956	37431	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0094696	
100001977	57591	Cofactors and Vitamins	Vitamin A Metabolism	HMDB0033844	C08591
100001979	37502	Cofactors and Vitamins	Tocopherol Metabolism	HMDB0006327	C14153
100001981	37501	Cofactors and Vitamins	Tocopherol Metabolism	HMDB0012958	C14155
100001990	32807	Lipid	Secondary Bile Acid Metabolism		
100002054	37508	Xenobiotics	Benzoate Metabolism	HMDB0013677	
100002070	52294	Lipid	"Fatty Acid, Dicarboxylate"	HMDB0059655	C02630
100002102	37432	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	HMDB0061880	C01073
100002107	37506	Lipid	Sphingomyelins	HMDB0010169	
100002113	37443	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	HMDB0000996	C00606
100002132	52987	Amino Acid	Polyamine Metabolism	HMDB0002172	C03413
100002154	37459	Xenobiotics	Food Component/Plant	HMDB0003045	C05570
100002185	38116	Amino Acid	Tryptophan Metabolism	HMDB0003320	C19837
100002196	37752	Lipid	"Fatty Acid, Monohydroxy"	"HMDB0004670,HMDB0004667"	"C14767,C14762"
100002204	43256	Amino Acid	Histidine Metabolism		
100002227	38125	Lipid	Sterol	HMDB0000921	C00599
100002249	43530	Amino Acid	Lysine Metabolism	HMDB0002284	
100002254	38625	Lipid	Endocannabinoid	HMDB0013078	
100002284	62950	Lipid	"Fatty Acid, Dihydroxy"	HMDB0002453	
100002285	62951	Lipid	"Fatty Acid, Dihydroxy"	HMDB0000360	
100002300	38159	Nucleotide	"Pyrimidine Metabolism, Cytidine containing"	HMDB0002224	C03592
100002328	38288	Cofactors and Vitamins	Tocopherol Metabolism	HMDB0034227	C13202
100002356	38296	Lipid	"Fatty Acid, Branched"	HMDB0037397	
100002367	63109	Lipid	"Fatty Acid, Dihydroxy"	HMDB0000498	
100002397	62101	Amino Acid	Glutamate Metabolism	HMDB0001552	C00940
100002398	38183	Xenobiotics	Food Component/Plant	HMDB0034301	C01746
100002417	38276	Xenobiotics	Food Component/Plant	HMDB0012141	C04039
100002458	57747	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	HMDB0000522	
100002500	43493	Amino Acid	Histidine Metabolism	HMDB0000854	C00439
100002514	40473	Amino Acid	Histidine Metabolism	HMDB0001212	C05565
100002528	46960	Xenobiotics	Chemical	HMDB01448	C00059
100002568	40173	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	HMDB0004159	C05793
100002569	40084	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	HMDB04161	C05795
100002619	53237	Carbohydrate	Pentose Metabolism	HMDB0003219	C02076
100002749	39592	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	HMDB0002108	
100002769	57461	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0003148	
100002873	49617	Lipid	Lysophospholipid	HMDB0010405	
100002875	52474	Lipid	Lysoplasmalogen	HMDB0010407	
100002910	62946	Amino Acid	Histidine Metabolism	HMDB04988	
100002912	39378	Lipid	Secondary Bile Acid Metabolism	HMDB0000874	
100002913	57573	Lipid	Secondary Bile Acid Metabolism	HMDB0000917	C17644
100002914	39587	Xenobiotics	Benzoate Metabolism	HMDB0002199	C01744
100002945	38768	Lipid	"Fatty Acid, Branched"	HMDB0061859	C16995
100002951	39831	Lipid	"Fatty Acid, Dicarboxylate"		
100002953	39609	Lipid	"Fatty Acid, Monohydroxy"	HMDB0006294	C18218
100002959	40474	Xenobiotics	Food Component/Plant	HMDB0030667	C04293
100002989	46798	Lipid	Diacylglycerol	HMDB0007219	
100002990	46799	Lipid	Diacylglycerol	HMDB0007219	
100002991	39791	Cofactors and Vitamins	Pantothenate and CoA Metabolism	HMDB0003828	C12661
100003000	39270	Lipid	Lysoplasmalogen	HMDB0011152	
100003001	39271	Lipid	Lysoplasmalogen		
100003064	57345	Lipid	Galactosyl Glycerolipids	HMDB0006790	C05401
100003070	39626	Xenobiotics	Food Component/Plant	HMDB0006101	C18165
100003072	39630	Xenobiotics	Food Component/Plant	HMDB0005056	C18166
100003109	40479	Xenobiotics	Food Component/Plant	HMDB0035514	
100003119	39732	Lipid	Endocannabinoid		
100003151	46223	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)"	HMDB0006469	
100003152	39577	Amino Acid	Glutamate Metabolism		C15987
100003160	42994	Peptide	Dipeptide	HMDB0028801	
100003169	40008	Peptide	Dipeptide	HMDB0028907	
100003179	40010	Peptide	Dipeptide	HMDB0028922	
100003183	48189	Peptide	Dipeptide	HMDB0028927	
100003185	40045	Peptide	Dipeptide	HMDB0028929	
100003196	40020	Peptide	Dipeptide	HMDB0028955	
100003210	39994	Peptide	Dipeptide	HMDB0029131	
100003236	40088	Xenobiotics	Food Component/Plant		C10276
100003239	39835	Lipid	Endocannabinoid		
100003240	39730	Lipid	Endocannabinoid		
100003258	63990	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	HMDB0240294	
100003260	40007	Amino Acid	Glutamate Metabolism	HMDB0002201	
100003365	57565	Cofactors and Vitamins	Thiamine Metabolism		C01279
100003397	40406	Lipid	Phospholipid Metabolism	HMDB0000925	C01104
100003415	62860	Amino Acid	Lysine Metabolism	HMDB0002038	C02728
100003425	40410	Amino Acid	Histidine Metabolism	HMDB0034174	
100003429	40478	Xenobiotics	Food Component/Plant		
100003432	40481	Xenobiotics	Food Component/Plant	HMDB0062121	
100003434	40730	Amino Acid	Histidine Metabolism	HMDB0002271	
100003493	41515	Amino Acid	Tyrosine Metabolism	HMDB0004284	C06044
100003542	42027	Peptide	Dipeptide	HMDB0028878	
100003588	41370	Peptide	Dipeptide	HMDB0028995	
100003589	41374	Peptide	Dipeptide	HMDB0028988	
100003598	41375	Peptide	Dipeptide	HMDB0029105	
100003609	43028	Peptide	Dipeptide	HMDB0029083	
100003640	42079	Peptide	Dipeptide	HMDB0029125	
100003641	40475	Peptide	Dipeptide	HMDB0029127	
100003674	40703	Peptide	Dipeptide	HMDB0011178	
100003686	42092	Lipid	Fatty Acid Metabolism (Acyl Glycine)	HMDB0013034	
100003695	62864	Xenobiotics	Food Component/Plant		
100003712	40732	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	HMDB0001553	C01180
100003867	42081	Nucleotide	"Purine Metabolism, Adenine containing"		C03416
100003869	43588	Lipid	Secondary Bile Acid Metabolism	HMDB0000874	
100003884	57786	Xenobiotics	Food Component/Plant	HMDB0034864	C04720
100003901	41220	Lipid	Lysophospholipid	HMDB0011129	
100003926	43264	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)"	HMDB0013127	
100004035	43026	Xenobiotics	Food Component/Plant		C05324
100004054	57512	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"	HMDB0006210	
100004059	62278	Xenobiotics	Food Component/Plant		
100004089	42489	Lipid	"Fatty Acid, Monohydroxy"	HMDB0094656	
100004182	43507	Lipid	Secondary Bile Acid Metabolism	HMDB0000308	
100004206	42975	Xenobiotics	Food Component/Plant		C06342
100004216	43023	Cofactors and Vitamins	Pterin Metabolism	HMDB0000802	C00715
100004251	42978	Lipid	"Fatty Acid, Dicarboxylate"	HMDB0002001	
100004290	43392	Amino Acid	Tyrosine Metabolism	HMDB0006050	
100004295	43400	Xenobiotics	Food Component/Plant	HMDB0011749	
100004299	43255	Amino Acid	Histidine Metabolism		
100004318	43374	Xenobiotics	Food Component/Plant		C12312
100004321	48691	Xenobiotics	Food Component/Plant		
100004322	43266	Xenobiotics	Food Component/Plant	HMDB0061116	
100004327	45966	Lipid	Lysophospholipid	HMDB0061698	
100004328	42463	Lipid	Sphingomyelins	HMDB0012097	
100004329	42459	Lipid	Sphingomyelins		
100004434	43449	Xenobiotics	Food Component/Plant		
100004481	43590	Xenobiotics	Food Component/Plant	HMDB0034649	C08983
100004482	43589	Xenobiotics	Food Component/Plant	HMDB0034650	C12081
100004483	54925	Xenobiotics	Food Component/Plant	HMDB0034651	C19865
100004523	43249	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0003357	C00437
100004542	43761	Lipid	"Fatty Acid, Amino"	HMDB0094649	
100004561	43549	Amino Acid	Tryptophan Metabolism	HMDB0004089	C05653
100004635	44878	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	HMDB0062174	
100004644	57771	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	HMDB0013141	
100005372	44621	Lipid	Lysoplasmalogen		
100005373	46227	Amino Acid	Lysine Metabolism	HMDB0034879	
100005384	45413	Xenobiotics	Chemical		
100005389	47114	Xenobiotics	Food Component/Plant	HMDB0029200	
100005391	45415	Xenobiotics	Benzoate Metabolism	HMDB0094710	
100005463	45428	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"		
100005466	48187	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	HMDB0240253	
100005716	45968	Lipid	Lysophospholipid		
100005717	45970	Lipid	Lysophospholipid		
100005805	46130	Lipid	Lysophospholipid		
100005814	61826	Lipid	Endocannabinoid		
100005852	47123	Lipid	"Fatty Acid, Monohydroxy"	HMDB0037396	C03195
100005946	48141	Xenobiotics	Food Component/Plant	HMDB0001353	C00204
100005972	47666	Cofactors and Vitamins	Tocopherol Metabolism		
100005986	47153	Lipid	Sphingomyelins	HMDB0012107	
100005996	61865	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)"		
100005998	61867	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)"		
100006051	48182	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"	HMDB0240588	
100006056	48433	Amino Acid	Tyrosine Metabolism	HMDB0240317	
100006115	48255	Carbohydrate	Pentose Metabolism	HMDB0000539	"C00502,C05411"
100006121	48341	Lipid	Monoacylglycerol		
100006122	48340	Carbohydrate	Pentose Metabolism	"HMDB0000621,HMDB0000751,HMDB0001644,HMDB0003371"	
100006123	48679	Amino Acid	Histidine Metabolism	HMDB0013253	C05135
100006124	48455	Amino Acid	Lysine Metabolism		
100006290	48490	Lipid	Sphingomyelins	HMDB0012102	
100006294	48492	Lipid	Sphingomyelins	HMDB0012103	
100006295	48493	Lipid	Sphingomyelins	HMDB0012104	
100006298	57330	Lipid	Sphingomyelins		
100006314	52433	Lipid	Sphingomyelins		
100006363	48728	Xenobiotics	Food Component/Plant		
100006367	53230	Lipid	"Fatty Acid, Monohydroxy"	"HMDB0061652,HMDB0010718"	
100006369	52340	Amino Acid	Alanine and Aspartate Metabolism		
100006370	54805	Lipid	Sterol		C17333
100006430	48885	Carbohydrate	Pentose Metabolism	"HMDB0001851,HMDB0000568,HMDB0002917"	"C00379,C00542,C01904"
100006435	46539	Carbohydrate	Aminosugar Metabolism	"HMDB0000212,HMDB0000215"	C01074
100006438	47076	Energy	TCA Cycle	"HMDB0000634,HMDB0000620"	"C02226,C02214"
100006614	52988	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)"	HMDB0061677	
100006627	52990	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)"		
100006637	52973	Lipid	Primary Bile Acid Metabolism		
100006643	52976	Lipid	Secondary Bile Acid Metabolism		
100006726	52608	Lipid	Endocannabinoid	HMDB0012252	
100008903	52603	Lipid	Phosphatidylcholine (PC)	HMDB0008138	
100008904	52438	Lipid	Phosphatidylcholine (PC)	HMDB0008038	
100008914	52462	Lipid	Phosphatidylcholine (PC)	HMDB0007982	C05208
100008915	52610	Lipid	Phosphatidylcholine (PC)	HMDB0007991	
100008916	52611	Lipid	Phosphatidylcholine (PC)	HMDB0008057	
100008920	52615	Lipid	Sphingomyelins		
100008921	52616	Lipid	Phosphatidylcholine (PC)	HMDB0007970	C03889
100008928	52281	Amino Acid	Glutathione Metabolism	"HMDB0000729,HMDB00008"	"C21297,C05984"
100008929	52282	Energy	TCA Cycle	"HMDB0003518,HMDB0000379"	C01251
100008930	52285	Lipid	Long Chain Monounsaturated Fatty Acid	"HMDB0003231,HMDB0000573,HMDB0240219,HMDB0000207"	"C21944,C08367,C01712,C00712"
100008932	63154	Peptide	Acetylated Peptides		
100008934	52916	Lipid	"Fatty Acid, Monohydroxy"		
100008952	52431	Lipid	Monoacylglycerol		
100008953	52432	Lipid	Monoacylglycerol	HMDB0011534	
100008954	52434	Lipid	Dihydrosphingomyelins	HMDB0010168	
100008955	52436	Lipid	Sphingomyelins	HMDB0012105	
100008957	52437	Lipid	Sphingomyelins		
100008977	52447	Lipid	Phosphatidylethanolamine (PE)	HMDB0009003	C05210
100008980	52452	Lipid	Phosphatidylcholine (PC)	HMDB0008039	
100008981	52453	Lipid	Phosphatidylcholine (PC)	HMDB0008105	
100008984	52470	Lipid	Phosphatidylcholine (PC)	HMDB0007969	
100008985	52454	Lipid	Phosphatidylcholine (PC)		
100008990	52464	Lipid	Phosphatidylethanolamine (PE)	HMDB0005323	C05210
100008991	52465	Lipid	Phosphatidylethanolamine (PE)	HMDB0008946	
100008998	52473	Cofactors and Vitamins	Tocopherol Metabolism	"HMDB0006335,HMDB0001492"	"C14152,C02483"
100009002	52673	Lipid	Plasmalogen	HMDB0011352	
100009005	52477	Lipid	Plasmalogen	HMDB0011342	
100009007	52478	Lipid	Plasmalogen	HMDB0007996	
100009014	52689	Lipid	Plasmalogen	HMDB0011220	
100009025	52495	Lipid	Sphingomyelins		
100009026	57331	Lipid	Dihydrosphingomyelins	HMDB0012091	
100009027	57473	Lipid	Dihydrosphingomyelins	HMDB0012087	
100009028	52604	Lipid	Dihydroceramides	HMDB11760	
100009030	53010	Lipid	Lactosylceramides (LCER)		
100009038	57365	Lipid	Dihydrosphingomyelins	HMDB0012085	
100009052	52633	Lipid	Diacylglycerol	HMDB0007103	
100009055	52634	Lipid	Diacylglycerol	HMDB0007103	
100009056	52743	Nucleotide	Dinucleotide		
100009057	52742	Nucleotide	Dinucleotide		
100009058	52741	Nucleotide	Dinucleotide		
100009060	52740	Nucleotide	Dinucleotide		
100009061	52744	Nucleotide	Dinucleotide		
100009062	52753	Nucleotide	Dinucleotide		
100009063	52745	Nucleotide	Dinucleotide		
100009064	52746	Nucleotide	Dinucleotide		
100009078	52687	Lipid	Phosphatidylethanolamine (PE)	HMDB0005349	
100009130	52697	Lipid	Phosphatidylcholine (PC)	HMDB0008123	
100009131	52710	Lipid	Phosphatidylcholine (PC)	HMDB0008147	C05208
100009204	57341	Lipid	Phosphatidylethanolamine (PE)	HMDB0008923	
100009217	53174	Lipid	Phosphatidylethanolamine (PE)	HMDB0009093	
100009232	53231	Xenobiotics	Chemical		
100009233	52944	Lipid	Fatty Acid Metabolism (Acyl Choline)	HMDB0240592	
100009239	54724	Energy	TCA Cycle		
100009271	52984	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)"	HMDB0013127	
100009329	63590	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	HMDB0060649	
100009331	53260	Lipid	Fatty Acid Metabolism (Acyl Choline)	HMDB0240596	
100009343	53176	Lipid	Phosphatidylcholine (PC)	HMDB0008141	
100009392	54892	Lipid	Galactosyl Glycerolipids	HMDB0011127	
100009393	57651	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)		
100009406	53223	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"		
100009407	53224	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)"		
100010869	57547	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	HMDB0029576	
100010872	54896	Lipid	Galactosyl Glycerolipids		
100010873	54897	Lipid	Galactosyl Glycerolipids		
100010874	54887	Lipid	Galactosyl Glycerolipids		
100010877	54891	Lipid	Galactosyl Glycerolipids		C13871
100010878	54898	Lipid	Galactosyl Glycerolipids		
100010879	54899	Lipid	Galactosyl Glycerolipids		
100010881	62376	Lipid	Galactosyl Glycerolipids		
100010885	62372	Lipid	Galactosyl Glycerolipids		
100010890	62374	Lipid	Galactosyl Glycerolipids		
100010893	54901	Lipid	Galactosyl Glycerolipids		
100010895	57554	Nucleotide	"Pyrimidine Metabolism, Cytidine containing"		
100010896	57655	Nucleotide	"Pyrimidine Metabolism, Uracil containing"		
100010901	55015	Peptide	Gamma-glutamyl Amino Acid		
100010917	54942	Lipid	Diacylglycerol	HMDB0007102	C13861
100010919	54946	Lipid	Diacylglycerol	HMDB0007218	
100010921	54947	Lipid	Diacylglycerol		
100010923	54956	Lipid	Diacylglycerol	HMDB0007257	
100010926	54963	Lipid	Diacylglycerol	HMDB0007249	
100010927	54964	Lipid	Diacylglycerol	HMDB0007250	
